,,,,,,,,,????????? ????????,,,,,,,
?????,?????,?????,???????,?????,?????,??????,?????????,???????,?????,?????,??????,??????,??????,??????,???????,?????
Bret Snow,M,46,Musician,192,,,,Alexandria,150,,,,,,,
Mehmet Watt,M,36,Writer,182,,,,Asyut,,,,,,,,
Hasan Park,M,28,News Anchor,178,,,,Minya,,,,,,,,
Mikolaj Mack,M,38,Shopkeeper,167,,,,Red Sea,,,,,,,,
Nana Brandt,M,30,Journalist,165,,,,Kafr El Sheikh,,,,,,,,
Raja Shah,M,49,Company Director,173,,,,Kafr El Sheikh,,,,,,,,
Bilal Dudley,M,49,Pilot,164,,,,New Valley,,,,,,,,
Abubakar Black,M,36,Programmer,184,,,,Red Sea,,,,,,,,
Rhys Arnold,M,34,Civil Servant,180,,,,Alexandria,,,,,,,,
Iosif Patrick,M,20,Company Director,171,,,,Giza,,,,,,,,
Walter Rodrigues,M,46,Accountant,179,,,,Faiyum,,,,,,,,
Evan Almond,M,36,Company Director,167,,,,Sohag,,,,,,,,
Ziggy Stacey,M,31,Mathematician,176,,,,Damietta,,,,,,,,
Connagh Bloggs,M,44,Soldier,168,,,,Ismailia,,,,,,,,
Bobbi Kearns,M,31,Salesman,166,,,,Alexandria,,,,,,,,
Donald Correa,M,29,Doctor,176,,,,Beheira,,,,,,,,
Arif Martin,M,25,Shopkeeper,183,,,,Suez,,,,,,,,
Ellis Brennan,M,22,Soldier,168,,,,South Sinai,,,,,,,,
Subhaan Michael,M,20,Singer,192,,,,Sohag,,,,,,,,
Umayr Macdonald,M,47,Journalist,169,,,,Asyut,,,,,,,,
Mustafa Copeland,M,46,Programmer,163,,,,Por Said,,,,,,,,
Mina Soto,M,29,Engineer,192,,,,North Sinai,,,,,,,,
Jaye Burke,M,20,Chef,180,,,,Dakahlia,,,,,,,,
Alfie-Lee Snider,M,25,Musician,184,,,,Suez,,,,,,,,
Saif Best,M,46,Teacher,189,,,,Aswan,,,,,,,,
Clayton Valentine,M,19,Bussinessman,171,,,,Beheira,,,,,,,,
Wil Lawrence,M,37,Soldier,189,,,,Qalyubia,,,,,,,,
Lewis Francis,M,39,Min Wage,173,,,,South Sinai,,,,,,,,
Stanley Reyes,M,32,Writer,188,,,,Sharqia,,,,,,,,
Kim Wolf,M,26,Civil Servant,189,,,,Beni Suef,,,,,,,,
Robson Key,M,40,Soldier,175,,,,Dakahlia,,,,,,,,
Shiloh Hopper,M,45,Actor,184,,,,North Sinai,,,,,,,,
Nadir Donald,M,30,Musician,171,,,,Dakahlia,,,,,,,,
Dario Ramirez,M,32,Chef,181,,,,Gharbia,,,,,,,,
Bernard Swanson,M,23,Actor,182,,,,Gharbia,,,,,,,,
Rayhaan Ballard,M,45,Programmer,179,,,,Matruh,,,,,,,,
Donell White,M,43,Engineer,166,,,,Giza,,,,,,,,
Norman Livingston,M,47,Bank Teller,193,,,,Ismailia,,,,,,,,
Bartlomiej Alford,M,22,News Anchor,190,,,,Aswan,,,,,,,,
Aden Rosas,M,44,Shopkeeper,185,,,,Aswan,,,,,,,,
Tyreese Huffman,M,36,Bank Teller,164,,,,Ismailia,,,,,,,,
Gia Adkins,M,36,Doctor,186,,,,Suez,,,,,,,,
Brandy Pierce,M,47,Pilot,166,,,,Beni Suef,,,,,,,,
Szymon Sykes,M,32,Doctor,189,,,,Alexandria,,,,,,,,
Loki Graham,M,46,Mathematician,192,,,,Cairo,,,,,,,,
Siddharth Douglas,M,38,Singer,191,,,,Kafr El Sheikh,,,,,,,,
Garfield Zhang,M,28,Soldier,179,,,,Giza,,,,,,,,
Eamonn Hardy,M,19,Bussinessman,171,,,,North Sinai,,,,,,,,
Denny Ochoa,M,24,Singer,192,,,,Beheira,,,,,,,,
Clyde Jordan,M,44,Firefighter,167,,,,Qalyubia,,,,,,,,
Shyla Prentice,M,41,Actor,171,,,,Ismailia,,,,,,,,
Dotty Mclaughlin,F,48,Singer,178,,,,Giza,,,,,,,,
Shelbie Chambers,F,37,Engineer,156,,,,Asyut,,,,,,,,
Cordelia Bassett,F,42,Engineer,165,,,,Sharqia,,,,,,,,
Leilani Wilks,F,22,Mathematician,177,,,,Red Sea,,,,,,,,
Rosa Byers,F,23,Musician,164,,,,Beni Suef,,,,,,,,
Jillian Crosby,F,27,Maid/Butler,178,,,,Qalyubia,,,,,,,,
Teri Cervantes,F,38,Musician,173,,,,Suez,,,,,,,,
Clarke Read,F,26,Firefighter,162,,,,Beni Suef,,,,,,,,
Manha Rasmussen,F,49,Artist,154,,,,Kafr El Sheikh,,,,,,,,
Kristy Redmond,F,20,Firefighter,157,,,,Cairo,,,,,,,,
Kay Wilkins,F,29,Civil Servant,170,,,,Alexandria,,,,,,,,
Nichola Thorne,F,24,Firefighter,169,,,,Matruh,,,,,,,,
Tess Fox,F,45,Programmer,173,,,,Minya,,,,,,,,
Atlanta Mccarthy,F,29,Accountant,151,,,,Asyut,,,,,,,,
Liana Battle,F,41,Teacher,167,,,,Giza,,,,,,,,
Nina Morrison,F,23,Secretary,175,,,,Ismailia,,,,,,,,
Kayley Conrad,F,24,Maid/Butler,154,,,,Damietta,,,,,,,,
Marnie Boyd,F,31,Civil Servant,175,,,,Minya,,,,,,,,
Hermione Quinn,F,18,Bussinessman,153,,,,Red Sea,,,,,,,,
Anna Mays,F,30,Artist,158,,,,Faiyum,,,,,,,,
Hira Davila,F,29,Company Director,167,,,,Beheira,,,,,,,,
Jo Firth,F,23,Writer,157,,,,Faiyum,,,,,,,,
Jade Wilson,F,29,Bussinessman,172,,,,Beheira,,,,,,,,
Isla-Mae Sanders,F,42,Doctor,176,,,,Damietta,,,,,,,,
Amelia-Rose Larson,F,25,Min Wage,164,,,,Matruh,,,,,,,,
Anja Shelton,F,35,Police Officer,168,,,,Minya,,,,,,,,
Carmen Montes,F,45,Singer,164,,,,Monufia,,,,,,,,
Natasha Hackett,F,34,Firefighter,173,,,,Por Said,,,,,,,,
Ellis Wilkinson,F,49,Salesman,162,,,,Dakahlia,,,,,,,,
Amina Cooper,F,33,Teacher,160,,,,Monufia,,,,,,,,
Sakina Ochoa,F,49,Mathematician,169,,,,Sohag,,,,,,,,
Lynsey Amin,F,47,Scientist,174,,,,Aswan,,,,,,,,
Sandra O'Neill,F,48,Civil Servant,171,,,,Red Sea,,,,,,,,
Aiysha Duke,F,33,Journalist,166,,,,Beni Suef,,,,,,,,
Saarah Porter,F,46,News Anchor,155,,,,Cairo,,,,,,,,
Elana Holloway,F,22,Soldier,172,,,,Por Said,,,,,,,,
Dominique Fuentes,F,25,Company Director,169,,,,New Valley,,,,,,,,
Isla Perez,F,29,Police Officer,163,,,,Gharbia,,,,,,,,
Lani Savage,F,34,Actor,159,,,,Faiyum,,,,,,,,
Alyx Enriquez,F,31,Artist,176,,,,Cairo,,,,,,,,
